City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
525,altamira,32,BR,1517977661,73,-3.2,-52.21,80.08,5.73
526,candido mendes,92,BR,1517977662,100,-1.45,-45.72,79.14,7.52
527,anadyr,0,RU,1517976000,84,64.73,177.51,6.8,2.24
528,kurtamysh,0,RU,1517977662,47,54.91,64.43,-7.27,2.93
529,okato,80,NZ,1517977663,89,-39.19,173.88,68.92,6.62
530,mount isa,80,AU,1517976000,24,-20.73,139.49,95.0,12.75
531,guararapes,64,BR,1517977663,74,-21.25,-50.65,77.16,2.37
532,paka,40,HR,1517976000,100,45.29,18.06,33.8,8.05
533,lingao,80,CN,1517977664,79,19.91,109.69,60.1,5.95
534,windhoek,12,NA,1517976000,55,-22.57,17.08,68.0,8.05
535,abu zabad,0,SD,1517977664,39,12.35,29.25,62.4,8.97
536,baykit,88,RU,1517977245,74,61.68,96.39,-0.92,11.99
537,suntar,56,RU,1517977665,78,62.16,117.65,-12.67,5.73
538,chernyshevskiy,64,RU,1517977665,81,63.01,112.47,-13.75,4.94
539,ilhabela,88,BR,1517977665,100,-23.78,-45.36,75.63,3.71
540,nuuk,88,GL,1517975400,100,64.17,-51.74,10.4,18.34
541,saint-georges,44,CA,1517977666,63,46.12,-70.67,15.46,7.07
542,port hawkesbury,90,CA,1517976000,92,45.62,-61.36,24.8,3.36
543,tiznit,12,MA,1517977667,95,29.7,-9.73,48.67,6.73
544,san cristobal,75,EC,1517972400,87,-0.39,-78.55,55.4,8.05
545,burnie,0,AU,1517977667,93,-41.05,145.91,69.24,16.8
546,alice springs,0,AU,1517976000,14,-23.7,133.88,96.8,8.05
547,banjar,36,ID,1517977667,85,-7.37,108.54,80.26,3.6
